日付,小計
2020-01-28T00:00:00+09:00,1
2020-01-29T00:00:00+09:00,0
2020-01-30T00:00:00+09:00,0
2020-01-31T00:00:00+09:00,0
2020-02-01T00:00:00+09:00,0
2020-02-02T00:00:00+09:00,0
2020-02-03T00:00:00+09:00,0
2020-02-04T00:00:00+09:00,0
2020-02-05T00:00:00+09:00,0
2020-02-06T00:00:00+09:00,0
2020-02-07T00:00:00+09:00,0
2020-02-08T00:00:00+09:00,0
2020-02-09T00:00:00+09:00,0
2020-02-10T00:00:00+09:00,0
2020-02-11T00:00:00+09:00,0
2020-02-12T00:00:00+09:00,0
2020-02-13T00:00:00+09:00,0
2020-02-14T00:00:00+09:00,1
2020-02-15T00:00:00+09:00,0
2020-02-16T00:00:00+09:00,0
2020-02-17T00:00:00+09:00,0
2020-02-18T00:00:00+09:00,1
2020-02-19T00:00:00+09:00,2
2020-02-20T00:00:00+09:00,0
2020-02-21T00:00:00+09:00,3
2020-02-22T00:00:00+09:00,10
2020-02-23T00:00:00+09:00,8
2020-02-24T00:00:00+09:00,4
2020-02-25T00:00:00+09:00,5
2020-02-26T00:00:00+09:00,4
2020-02-27T00:00:00+09:00,15
2020-02-28T00:00:00+09:00,12
2020-02-29T00:00:00+09:00,4
2020-03-01T00:00:00+09:00,2
2020-03-02T00:00:00+09:00,5
2020-03-03T00:00:00+09:00,2
2020-03-04T00:00:00+09:00,3
2020-03-05T00:00:00+09:00,1
2020-03-06T00:00:00+09:00,7
2020-03-07T00:00:00+09:00,8
2020-03-08T00:00:00+09:00,3
2020-03-09T00:00:00+09:00,7
